class,cap-shape,cap-surface,cap-color,odor,gill-spacing,gill-size,gill-color,stalk-shape,ring-number,ring-type,spore-print-color,population,habitat
p,x,y,w,p,c,n,p,e,o,p,k,s,g
e,x,f,w,n,w,b,k,t,o,e,k,a,g
e,b,y,w,a,c,b,w,e,o,p,k,s,g
e,x,s,y,l,w,n,w,t,o,p,n,v,d
e,b,y,w,a,c,b,n,e,o,p,k,s,g
e,x,y,w,l,c,b,g,e,o,p,k,s,g
e,x,f,n,n,c,b,p,t,o,p,n,y,d
e,b,y,w,l,c,b,k,e,o,p,n,s,m
e,x,s,y,l,c,b,g,e,o,p,n,n,m
e,f,y,n,a,c,b,p,e,o,p,k,y,g
e,x,f,w,n,w,b,n,t,o,e,n,s,g
e,x,s,y,l,c,b,w,e,o,p,k,s,g
p,x,y,w,p,c,n,n,e,o,p,n,v,g
e,x,y,y,l,c,b,n,e,o,p,k,s,g
e,x,f,w,a,w,n,p,t,o,p,n,v,d
e,b,s,y,a,c,b,g,e,o,p,n,n,g
p,x,y,w,p,c,n,k,e,o,p,k,v,u
e,x,s,y,a,w,n,w,t,o,p,n,v,d
e,x,y,w,a,c,b,k,e,o,p,k,n,m
e,x,f,w,l,w,n,n,t,o,p,n,v,d
e,f,s,w,l,w,n,w,t,o,p,n,v,d
e,x,y,y,l,c,b,k,e,o,p,n,s,m
e,f,f,y,a,w,n,w,t,o,p,u,v,d
e,x,s,w,a,c,b,w,e,o,p,k,s,g
e,b,y,y,a,c,b,n,e,o,p,k,s,m
e,x,y,n,l,c,b,p,e,o,p,n,s,p
e,b,y,w,l,c,b,k,e,o,p,k,n,g
e,x,s,y,a,c,b,n,e,o,p,n,s,m
p,x,y,n,p,c,n,n,e,o,p,n,v,u
e,b,s,y,l,c,b,w,e,o,p,k,n,g
e,b,y,w,a,c,b,g,e,o,p,k,n,g
p,x,y,n,p,c,n,w,e,o,p,k,v,u
e,b,s,w,l,c,b,n,e,o,p,k,s,m
e,b,y,y,l,c,b,w,e,o,p,n,n,m
e,b,y,y,a,c,b,n,e,o,p,k,s,g
e,x,y,w,l,c,b,g,e,o,p,n,n,g
e,x,f,n,n,c,b,p,t,o,p,k,y,d
e,x,y,n,a,c,b,w,e,o,p,k,y,g
e,b,s,y,l,c,b,n,e,o,p,n,s,g
e,x,f,g,n,c,n,g,e,o,p,n,v,u
e,x,y,n,l,c,b,n,e,o,p,k,y,g
e,x,s,w,a,c,b,k,e,o,p,n,s,g
e,b,y,w,a,c,b,n,e,o,p,k,n,g
e,x,s,y,a,c,b,g,e,o,p,k,s,m
e,f,f,y,a,w,n,p,t,o,p,n,v,d
e,b,y,y,l,c,b,g,e,o,p,n,s,g
e,x,f,n,n,w,b,n,t,o,e,n,a,g
e,x,f,y,l,w,n,n,t,o,p,n,v,d
e,x,s,y,a,c,b,n,e,o,p,n,n,m
e,f,s,g,n,w,b,n,t,o,e,k,s,g
e,x,f,n,n,c,n,g,e,o,p,n,y,u
e,f,s,g,n,w,b,h,t,o,e,n,a,g
e,f,y,n,a,c,b,p,e,o,p,n,s,p
e,b,y,w,a,c,b,k,e,o,p,n,s,g
e,b,s,y,a,c,b,k,e,o,p,k,s,m
e,x,y,y,l,c,b,w,e,o,p,k,s,p
e,s,f,g,n,c,n,g,e,o,p,n,v,u
e,f,y,n,a,c,b,p,e,o,p,n,y,p
p,x,y,n,p,c,n,k,e,o,p,k,s,u
e,x,y,y,a,c,b,p,e,o,p,n,y,p
e,x,y,y,a,c,b,w,e,o,p,n,s,g
e,x,f,n,n,w,b,h,t,o,e,n,s,g
e,x,f,n,n,w,b,p,t,o,e,k,a,g
e,f,s,n,n,w,b,k,t,o,e,k,a,g
e,f,y,n,a,c,b,n,e,o,p,n,s,p
e,x,s,y,a,c,b,w,e,o,p,k,n,g
e,f,f,n,n,c,n,p,e,o,p,k,v,u
e,x,y,y,a,c,b,w,e,o,p,n,s,p
e,x,f,y,a,w,n,p,t,o,p,u,v,d
e,b,y,y,a,c,b,g,e,o,p,n,n,g
e,x,f,g,n,w,b,n,t,o,e,k,s,g
e,x,y,y,a,c,b,w,e,o,p,n,s,g
e,f,y,n,l,c,b,n,e,o,p,k,y,g
e,x,s,y,a,c,b,w,e,o,p,k,s,m
e,s,f,n,n,c,n,n,e,o,p,n,y,u
e,x,s,w,a,c,b,k,e,o,p,k,s,m
e,b,s,w,l,c,b,n,e,o,p,k,n,g
e,s,f,n,n,c,n,k,e,o,p,k,y,u
e,b,y,y,l,c,b,n,e,o,p,n,n,m
e,x,y,y,l,c,b,k,e,o,p,n,n,g
e,b,y,y,a,c,b,k,e,o,p,n,s,g
p,x,y,n,p,c,n,p,e,o,p,k,s,u
e,x,s,w,n,w,b,k,t,o,e,n,s,g
e,x,y,w,a,c,b,w,e,o,p,k,s,m
e,b,s,w,a,c,b,g,e,o,p,n,n,g
e,x,f,n,n,c,b,n,t,o,p,n,y,d
p,x,s,n,p,c,n,w,e,o,p,n,s,u
e,x,y,n,l,c,b,w,e,o,p,k,y,p
e,x,s,n,n,w,b,n,t,o,e,k,a,g
e,b,y,y,l,c,b,n,e,o,p,k,n,m
e,x,s,y,a,c,b,w,e,o,p,n,n,m
e,b,s,y,a,c,b,n,e,o,p,n,s,m
e,x,s,y,l,c,b,g,e,o,p,k,n,m
e,b,y,w,a,c,b,n,e,o,p,n,n,g
e,x,f,g,n,c,n,k,e,o,p,n,v,u
e,f,y,n,a,c,b,w,e,o,p,k,s,g
e,x,f,g,n,w,b,h,t,o,e,n,a,g
e,x,s,w,l,c,b,k,e,o,p,n,n,m
e,x,y,y,l,c,b,w,e,o,p,n,s,m
e,x,f,g,n,c,n,n,e,o,p,k,v,u
p,x,s,n,p,c,n,p,e,o,p,n,s,u
e,b,y,w,l,c,b,w,e,o,p,n,n,g
e,b,y,w,a,c,b,n,e,o,p,k,n,m
p,x,y,n,p,c,n,p,e,o,p,n,v,u
e,b,s,y,l,c,b,w,e,o,p,n,s,m
e,x,s,w,l,c,b,k,e,o,p,n,s,m
e,x,y,y,l,c,b,n,e,o,p,k,s,m
e,b,y,y,l,c,b,n,e,o,p,n,n,g
e,x,s,w,a,c,b,g,e,o,p,n,s,m
e,x,s,w,a,c,b,g,e,o,p,k,s,g
e,x,y,n,l,c,b,w,e,o,p,n,y,p
e,x,s,w,a,c,b,w,e,o,p,n,s,m
e,x,s,n,n,w,b,n,t,o,e,k,s,g
e,x,y,n,l,c,b,n,e,o,p,n,s,p
e,x,y,y,l,c,b,n,e,o,p,k,y,g
p,x,y,n,p,c,n,k,e,o,p,k,v,g
e,b,y,y,a,c,b,w,e,o,p,n,n,g
e,x,f,w,l,w,n,p,t,o,p,u,v,d
p,x,s,n,p,c,n,w,e,o,p,k,s,u
e,x,y,y,l,c,b,k,e,o,p,k,n,g
e,f,f,g,n,w,b,h,t,o,e,n,a,g
e,x,y,w,l,c,b,n,e,o,p,k,s,g
e,b,y,w,a,c,b,w,e,o,p,n,s,m
p,x,y,n,p,c,n,p,e,o,p,n,s,u
e,f,y,n,l,c,b,w,e,o,p,k,s,g
e,x,s,w,l,c,b,n,e,o,p,n,n,m
e,x,s,w,a,w,n,n,t,o,p,n,v,d
e,f,y,n,a,c,b,n,e,o,p,n,y,p
e,b,s,w,a,c,b,k,e,o,p,n,n,m
e,x,s,w,n,w,b,p,t,o,e,k,a,g
e,f,f,g,n,c,n,n,e,o,p,n,v,u
e,x,y,w,a,c,b,g,e,o,p,n,s,g
e,x,y,y,l,c,b,n,e,o,p,n,y,g
e,b,s,y,l,c,b,g,e,o,p,n,s,g
e,b,s,y,l,c,b,w,e,o,p,k,s,g
e,f,s,w,l,w,n,n,t,o,p,n,v,d
e,b,s,w,a,c,b,w,e,o,p,k,n,m
e,x,f,y,a,w,n,n,t,o,p,u,v,d
e,x,y,w,l,c,b,g,e,o,p,n,n,m
e,b,y,y,l,c,b,k,e,o,p,n,n,m
e,x,y,n,a,c,b,p,e,o,p,n,y,p
e,x,y,w,l,c,b,n,e,o,p,k,s,m
e,x,y,w,l,c,b,g,e,o,p,k,s,m
e,x,y,y,a,c,b,p,e,o,p,k,y,p
e,x,y,w,l,c,b,n,e,o,p,k,n,m
e,x,s,y,l,c,b,w,e,o,p,k,n,m
e,x,y,n,l,c,b,p,e,o,p,k,s,g
e,x,s,w,l,c,b,n,e,o,p,n,n,g
e,f,y,n,l,c,b,n,e,o,p,k,s,g
e,b,s,w,l,c,b,w,e,o,p,k,s,m
e,x,f,n,n,c,b,n,t,o,p,n,y,d
e,x,y,w,l,c,b,k,e,o,p,n,s,m
e,b,s,w,l,c,b,g,e,o,p,k,n,g
e,b,s,y,l,c,b,g,e,o,p,k,n,m
e,x,f,y,l,w,n,p,t,o,p,n,v,d
e,b,s,w,l,c,b,g,e,o,p,n,n,m
e,x,s,g,n,w,b,h,t,o,e,k,a,g
e,b,s,w,a,c,b,k,e,o,p,n,n,g
e,b,s,y,l,c,b,w,e,o,p,k,s,m
e,f,y,y,a,c,b,n,e,o,p,k,y,p
e,f,y,n,a,c,b,w,e,o,p,n,y,p
e,x,s,w,a,c,b,k,e,o,p,n,s,m
e,f,y,y,l,c,b,n,e,o,p,n,s,g
e,b,s,w,a,c,b,g,e,o,p,k,s,g
e,x,y,y,a,c,b,w,e,o,p,n,n,m
e,x,f,n,n,c,n,k,e,o,p,k,v,u
e,f,y,n,a,c,b,p,e,o,p,n,y,g
e,x,s,w,a,c,b,g,e,o,p,k,n,m
e,x,s,y,l,c,b,g,e,o,p,k,n,g
e,b,y,y,l,c,b,g,e,o,p,k,n,g
e,f,y,y,a,c,b,w,e,o,p,n,s,p
e,x,y,y,l,c,b,g,e,o,p,k,n,g
e,x,y,w,a,c,b,w,e,o,p,k,n,m
e,f,f,w,a,w,n,n,t,o,p,u,v,d
e,s,f,g,n,c,n,k,e,o,p,k,y,u
e,f,s,y,l,w,n,n,t,o,p,n,v,d
e,f,f,g,n,c,n,k,e,o,p,k,y,u
e,x,f,n,n,c,n,p,e,o,p,n,y,u
e,b,y,w,a,c,b,w,e,o,p,n,n,g
e,x,s,w,a,w,n,p,t,o,p,n,v,d
e,b,y,y,l,c,b,n,e,o,p,k,s,m
e,b,y,y,a,c,b,k,e,o,p,k,s,m
e,b,y,y,l,c,b,g,e,o,p,k,s,g
e,f,s,w,l,w,n,p,t,o,p,u,v,d
e,f,f,g,n,c,n,g,e,o,p,k,y,u
e,f,s,w,a,w,n,w,t,o,p,n,v,d
e,f,y,y,a,c,b,p,e,o,p,k,y,g
e,x,y,w,l,c,b,w,e,o,p,n,s,m
e,s,f,n,n,c,n,p,e,o,p,n,y,u
e,x,y,n,l,c,b,n,e,o,p,k,s,p
e,x,y,n,a,c,b,n,e,o,p,k,s,p
e,f,f,y,a,w,n,n,t,o,p,u,v,d
p,f,s,n,p,c,n,p,e,o,p,n,s,g
p,x,s,n,p,c,n,k,e,o,p,n,v,u
e,f,y,n,l,c,b,w,e,o,p,n,s,p
e,x,y,y,a,c,b,w,e,o,p,k,s,g
